heart_rate,enhanced_speed,cadence
129,3.172,91
129,3.172,91
129,3.172,91
129,3.172,91
129,3.163,91
129,3.163,91
129,3.163,90
129,3.154,90
129,3.154,90
129,3.154,91
129,3.154,91
129,3.154,91
129,3.154,91
128,3.144,91
128,3.144,91
128,3.144,90
128,3.144,90
128,3.135,90
128,3.135,90
127,3.126,90
127,3.126,90
127,3.116,90
127,3.116,90
126,3.107,90
126,3.107,90
126,3.098,90
125,3.098,90
125,3.088,90
125,3.088,90
125,3.079,90
125,3.079,90
124,3.07,90
124,3.06,90
124,3.06,90
124,3.051,90
124,3.051,90
123,3.042,89
123,3.042,89
123,3.032,89
122,3.032,89
122,3.032,89
122,3.032,89
122,3.032,89
122,3.032,89
122,3.032,89
121,3.032,90
122,3.032,90
122,3.032,90
122,3.032,90
122,3.032,89
122,3.032,89
122,3.032,90
122,3.032,90
123,3.032,90
123,3.032,90
123,3.032,90
123,3.032,90
123,3.032,90
123,3.032,90
123,3.032,90
123,3.032,91
123,3.032,91
123,3.032,91
123,3.032,91
123,3.032,91
123,3.032,92
123,3.032,92
123,3.032,92
123,3.032,92
123,3.032,92
123,3.032,91
123,3.032,91
123,3.032,91
123,3.032,92
123,3.032,92
124,3.032,92
124,3.032,92
124,3.023,92
125,3.023,92
125,3.023,92
125,3.023,92
126,3.014,92
126,3.014,92
127,3.004,92
127,2.995,91
127,2.995,90
128,2.986,90
128,2.986,90
129,2.976,91
129,2.967,91
129,2.967,91
130,2.958,90
130,2.958,90
131,2.948,89
132,2.939,89
132,2.93,89
133,2.93,89
133,2.921,89
134,2.911,89
135,2.902,89
136,2.893,90
136,2.883,90
136,2.883,89
137,2.874,89
137,2.874,90
138,2.865,90
138,2.865,90
139,2.865,90
139,2.865,90
139,2.865,90
139,2.865,90
139,2.865,90
139,2.865,90
139,2.865,90
139,2.865,90
139,2.865,90
139,2.865,90
139,2.874,90
139,2.874,91
138,2.874,91
138,2.883,91
138,2.883,91
138,2.883,91
138,2.883,91
138,2.883,91
138,2.883,91
138,2.883,91
137,2.883,92
137,2.883,92
137,2.883,92
137,2.883,93
137,2.893,93
137,2.893,92
137,2.893,92
137,2.893,92
137,2.893,92
137,2.902,92
137,2.902,91
137,2.902,91
137,2.902,91
137,2.902,91
137,2.902,91
137,2.902,91
137,2.893,91
137,2.893,91
137,2.893,90
138,2.893,90
138,2.893,90
138,2.893,90
138,2.893,91
138,2.893,91
138,2.893,91
138,2.883,90
139,2.865,89
139,2.799,88
139,2.725,88
139,2.641,88
140,2.641,88
140,2.659,89
140,2.659,89
140,2.678,89
140,2.687,90
140,2.846,90
141,2.883,90
141,2.883,90
141,2.902,90
141,2.902,90
141,2.911,90
141,2.921,90
141,2.921,91
142,2.921,91
142,2.921,91
142,2.921,91
142,2.921,92
143,2.921,92
143,2.921,92
143,2.921,92
143,2.921,92
143,2.93,92
143,2.93,91
144,2.93,91
144,2.93,91
144,2.93,91
144,2.921,91
144,2.902,91
144,2.883,90
144,2.865,90
144,2.855,90
144,2.855,90
144,2.846,90
144,2.837,91
144,2.837,91
144,2.837,91
143,2.846,91
143,2.846,91
143,2.846,91
143,2.855,92
143,2.855,92
143,2.855,92
143,2.865,92
143,2.865,92
143,2.874,91
143,2.874,90
144,2.874,90
144,2.874,90
144,2.874,90
145,2.874,90
146,2.874,90
146,2.874,90
146,2.874,90
147,2.874,91
147,2.874,91
147,2.883,91
147,2.883,90
148,2.883,90
148,2.893,90
148,2.893,90
148,2.902,90
148,2.911,90
148,2.911,90
149,2.921,90
149,2.921,90
148,2.93,91
148,2.939,91
148,2.939,91
148,2.948,90
148,2.958,90
148,2.958,90
147,2.967,90
147,2.976,91
147,2.976,91
147,2.986,91
147,2.995,91
147,2.995,91
147,3.004,91
146,3.004,91
146,3.004,91
146,3.014,91
146,3.014,92
146,3.014,92
146,3.014,92
146,3.014,91
145,3.023,91
145,3.023,92
145,3.023,92
145,3.023,92
145,3.023,91
145,3.023,91
145,3.023,91
145,3.023,91
145,3.023,90
146,3.014,90
146,3.014,91
146,3.004,91
146,3.004,91
147,2.995,91
147,2.995,89
147,2.986,89
147,2.976,91
148,2.967,91
148,2.958,91
149,2.948,90
149,2.939,90
149,2.93,89
150,2.921,89
150,2.911,89
150,2.902,89
150,2.893,89
150,2.883,89
151,2.874,89
151,2.865,89
151,2.855,89
152,2.846,90
152,2.837,90
152,2.827,90
153,2.818,91
153,2.809,91
154,2.799,91
154,2.799,91
154,2.79,90
155,2.781,90
155,2.771,90
155,2.762,89
156,2.762,89
156,2.753,91
156,2.743,91
156,2.734,91
157,2.725,91
157,2.725,90
157,2.715,90
158,2.715,90
158,2.706,89
158,2.697,89
158,2.687,89
158,2.678,90
159,2.678,90
159,2.669,90
159,2.659,90
160,2.65,90
160,2.641,89
160,2.641,89
160,2.631,89
160,2.631,89
161,2.622,90
161,2.622,90
161,2.613,90
161,2.613,89
161,2.603,89
162,2.603,89
162,2.594,90
162,2.594,90
162,2.594,90
163,2.585,90
163,2.585,90
163,2.585,91
163,2.585,91
163,2.575,91
163,2.575,91
163,2.575,91
163,2.575,91
163,2.566,89
163,2.566,89
163,2.566,91
163,2.566,91
163,2.566,90
163,2.566,90
164,2.557,91
164,2.557,91
164,2.566,90
164,2.566,90
164,2.566,90
164,2.557,90
164,2.557,90
164,2.557,90
164,2.557,90
164,2.557,90
163,2.557,91
163,2.557,91
163,2.557,91
163,2.557,90
163,2.557,90
163,2.557,90
163,2.557,90
163,2.557,90
162,2.557,90
162,2.547,90
162,2.547,90
162,2.547,90
162,2.547,90
162,2.547,90
162,2.547,90
162,2.547,90
163,2.547,90
163,2.538,90
163,2.538,90
163,2.538,90
163,2.538,90
163,2.538,90
163,2.538,90
163,2.538,90
163,2.538,90
164,2.538,90
164,2.529,90
164,2.529,90
164,2.529,91
164,2.529,91
165,2.529,91
165,2.529,90
165,2.529,90
165,2.519,90
165,2.519,90
166,2.519,90
166,2.519,90
166,2.51,90
166,2.51,90
166,2.501,90
166,2.501,90
166,2.501,91
165,2.491,91
165,2.491,91
165,2.491,91
165,2.491,91
165,2.491,91
165,2.491,91
165,2.501,90
164,2.501,90
164,2.491,90
164,2.491,90
164,2.491,90
164,2.482,90
164,2.482,90
164,2.473,90
164,2.473,90
165,2.463,90
165,2.463,90
165,2.454,90
165,2.454,90
165,2.454,90
165,2.454,90
165,2.454,90
165,2.454,90
165,2.454,90
165,2.463,90
165,2.463,91
165,2.473,91
165,2.473,91
165,2.482,91
165,2.491,91
165,2.501,91
164,2.501,92
164,2.51,92
164,2.51,91
164,2.519,90
165,2.519,90
165,2.529,90
165,2.529,90
165,2.538,90
165,2.538,91
165,2.538,91
165,2.547,90
165,2.547,90
165,2.547,91
165,2.547,91
165,2.547,91
165,2.547,90
165,2.547,90
165,2.547,90
164,2.547,90
164,2.547,90
164,2.547,90
164,2.547,90
164,2.547,91
164,2.557,91
164,2.557,90
164,2.557,90
164,2.557,90
164,2.557,90
164,2.557,90
164,2.557,91
164,2.557,91
164,2.557,90
164,2.557,90
164,2.557,90
164,2.557,90
164,2.557,90
163,2.566,90
164,2.566,90
164,2.566,90
164,2.566,90
164,2.575,90
164,2.575,90
164,2.575,90
164,2.585,90
164,2.594,90
165,2.603,90
165,2.613,91
165,2.631,91
165,2.641,91
165,2.659,91
165,2.669,91
165,2.678,91
165,2.678,91
165,2.687,91
165,2.697,90
165,2.706,90
165,2.715,90
165,2.725,91
164,2.725,91
164,2.725,91
164,2.725,90
163,2.715,90
163,2.715,90
163,2.725,90
163,2.725,90
163,2.734,91
162,2.734,91
162,2.743,91
162,2.753,91
162,2.762,91
162,2.771,91
162,2.781,91
162,2.79,91
162,2.799,90
162,2.809,90
162,2.809,90
162,2.818,90
162,2.818,90
162,2.818,91
162,2.827,91
162,2.827,91
162,2.827,91
162,2.827,92
162,2.827,92
162,2.827,92
162,2.818,89
161,2.818,89
161,2.809,89
161,2.809,90
161,2.809,91
161,2.809,91
161,2.809,91
160,2.809,90
160,2.809,90
160,2.799,89
160,2.79,89
160,2.781,89
159,2.781,89
159,2.771,89
159,2.771,89
159,2.762,90
159,2.762,90
159,2.753,90
159,2.753,90
160,2.743,91
160,2.734,91
160,2.725,90
160,2.725,90
160,2.715,91
161,2.706,91
161,2.697,90
161,2.697,90
161,2.687,91
161,2.687,91
161,2.678,91
161,2.678,91
162,2.678,90
162,2.678,90
162,2.669,89
161,2.669,89
161,2.659,90
161,2.659,90
161,2.659,90
161,2.65,90
161,2.65,90
161,2.65,90
161,2.65,90
161,2.65,90
161,2.65,91
161,2.65,91
161,2.65,91
161,2.659,91
162,2.659,91
162,2.659,91
162,2.669,90
162,2.669,90
162,2.669,91
162,2.678,91
163,2.687,91
163,2.687,91
163,2.697,92
163,2.697,92
163,2.706,92
163,2.715,91
163,2.715,91
163,2.725,91
163,2.725,91
162,2.734,91
162,2.743,91
162,2.743,92
162,2.753,92
162,2.762,92
162,2.762,92
162,2.771,91
161,2.781,91
161,2.781,91
161,2.79,91
161,2.799,90
161,2.799,90
161,2.809,90
161,2.809,90
161,2.818,90
160,2.827,90
160,2.827,90
160,2.837,90
160,2.846,90
159,2.846,89
159,2.855,89
159,2.865,89
158,2.874,89
158,2.874,89
157,2.883,89
157,2.883,89
157,2.893,89
156,2.893,89
156,2.902,89
155,2.902,89
155,2.911,89
155,2.911,89
154,2.911,89
154,2.911,89
153,2.921,89
152,2.921,89
152,2.921,90
151,2.921,90
151,2.93,90
150,2.93,89
150,2.93,89
150,2.93,89
149,2.939,89
149,2.939,89
148,2.948,89
148,2.948,90
147,2.948,90
147,2.958,90
146,2.958,90
146,2.958,90
146,2.967,90
145,2.967,90
145,2.976,90
145,2.976,90
144,2.986,90
144,2.986,90
144,2.995,90
143,2.995,90
143,3.004,91
143,3.004,91
142,3.014,90
142,3.014,90
142,3.014,90
142,3.014,90
142,3.023,89
141,3.023,89
141,3.023,89
140,3.023,89
140,3.023,89
140,3.023,89
140,3.023,88
139,3.023,88
139,3.023,88
138,3.023,88
138,3.023,87
137,3.014,87
137,3.014,87
137,3.004,87
137,2.995,86
137,2.986,86
137,2.976,86
137,2.967,86
137,2.948,87
137,2.921,87
137,2.893,87
137,2.874,87
137,2.846,87
137,2.827,88
137,2.809,88
137,2.799,87
137,2.79,87
136,2.771,87
136,2.771,88
136,2.781,88
136,2.781,88
135,2.781,88
135,2.781,88
135,2.781,88
134,2.771,88
134,2.771,88
134,2.781,88
133,2.837,88
133,2.902,88
133,2.967,88
132,2.976,88
132,2.986,88
132,3.004,88
132,3.023,88
131,3.023,89
131,3.042,89
131,3.06,89
131,3.06,89
131,3.06,89
131,3.051,89
131,3.051,89
131,3.051,89
131,3.051,89
131,3.051,90
131,3.06,90
131,3.06,90
131,3.07,90
132,3.088,89
132,3.116,89
133,3.144,90
133,3.172,90
134,3.2,90
134,3.21,90
134,3.228,90
135,3.228,90
135,3.228,90
136,3.238,89
136,3.238,89
136,3.238,89
137,3.238,89
137,3.219,88
137,3.21,88
138,3.2,88
138,3.182,88
138,3.154,88
138,3.135,87
138,3.116,87
138,3.098,87
139,3.088,87
139,3.07,87
140,3.051,87
140,3.032,87
141,3.014,87
141,3.004,87
142,2.995,88
142,2.967,88
143,2.93,88
143,2.874,88
144,2.799,88
145,2.734,88
145,2.687,87
146,2.678,87
147,2.687,87
147,2.697,88
